id,Month,Users,Subscribers,New Users,Cash Sales,Recognized Revenue,AWS Cost,Storage TiB,New Photos,Subscription Rate,Subscription Rate 1k,Subscription Rate 10k,Free Active 30d,Subscribers Active 30d,Website Visits,Press Articles
1,2012-09-01,3812,,2119,"5864,41","641,63",,,"9,3","0,1350","0,4775","0,7794","0,0633","0,7797",26742,3
2,2012-10-01,4484,,650,"6181,16","1303,79","4669,16","8,9","2,8","0,1323","0,5287","0,8026","0,0514","0,7791",17198,0
3,2012-11-01,5816,755,1489,"6707,08","1931,95","7023,58","12,5","4,4","0,1914","0,5965","0,8634","0,0432","0,7509",26144,3
4,2012-12-01,7710,912,1655,"5127,50","2501,01","9625,59","18,9",13,"0,1619","0,5099","0,8115","0,0577","0,7948",43121,10
5,2013-01-01,9265,1179,1541,"8618,53","3321,58","13561,31","27,1","14,5","0,1720","0,5059","0,8110","0,0705","0,8755",41716,2
6,2013-02-01,12878,1434,3617,"8397,86","4121,13","16097,90","33,6","16,7","0,2405","0,3886","0,5835","0,1791","0,8529",58205,6
7,2013-03-01,18003,2479,4830,"33865,70","8260,57","20215,66","63,9",49,"0,1366","0,2950","0,5805","0,1777","0,8500",86406,14
8,2013-04-01,20662,2846,2644,"13681,78","9635,90","13167,74","74,9","44,6","0,1138","0,2690","0,5762","0,1643","0,8239",61633,2
9,2013-05-01,23990,3205,3526,"15462,45","11081,89","14432,94","84,5","26,2","0,0837","0,2252","0,5354","0,1554","0,8407",61982,4
10,2013-06-01,29805,3488,5935,"14186,28","12212,12","15170,96","98,3","38,3","0,0657","0,1727","0,4527","0,1830","0,8744",66785,14
11,2013-07-01,36364,4083,6470,"22309,01","14509,66","20947,95","121,9","61,2","0,1045","0,2411","0,5174","0,2287","0,9172",100764,4
12,2013-08-01,45096,5287,8827,42333,"19208,82","24906,56","157,1","86,3","0,1253","0,2632","0,5790","0,2935","0,9295",125915,6
13,2013-09-01,50715,6102,5594,"39112,39","21713,38","26442,38","194,5","66,3","0,1107","0,2489","0,4939","0,3709","0,9467",107248,0
14,2013-10-01,55467,6814,5001,"40194,67","24917,80","29565,61","222,1","123,7","0,1042","0,2333","0,3309","0,8891",1,113613,1
